## mouse.knockout
## Mouse knockout phenotypes from JAX
## hg19, source=gm.jax created=28JUN2011:04:21:45
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 6228 entries. Columns: 6
#chr	bp1	bp2	geneName	musName	phenotype
chr5	138677276	138705406	PAIP2	Paip2	"endocrine/exocrine gland;growth/size;no phenotypic analysis;reproductive system"
chr2	71409869	71454213	PAIP2B	Paip2b	"endocrine/exocrine gland;growth/size;no phenotypic analysis;reproductive system"
chr11	77032752	77185680	PAK1	Pak1	"immune system"
chrX	110187513	110470589	PAK3	Pak3	"behavior/neurological;nervous system"
chr19	39616410	39673456	PAK4	Pak4	"cardiovascular system;cellular;embryogenesis;growth/size;hematopoietic system;integument;mortality/aging;nervous system;no phenotypic analysis"
chr15	40509629	40569688	PAK6	Pak6	"behavior/neurological;nervous system;normal;reproductive system"
chr20	9518036	9819689	PAK7	Pak7	"behavior/neurological;mortality/aging;nervous system;reproductive system"
chr16	23614488	23652631	PALB2	Palb2	"embryogenesis;growth/size;limbs/digits/tail;mortality/aging"
chr4	169418217	169849608	PALLD	Palld	"cellular;embryogenesis;mortality/aging;nervous system"
chr5	102089685	102366809	PAM	Pam	"adipose tissue;cardiovascular system;embryogenesis;homeostasis/metabolism;mortality/aging;respiratory system"
chr10	91342745	91405215	PANK1	Pank1	"behavior/neurological;growth/size;homeostasis/metabolism;liver/biliary system"
chr20	3869486	3907605	PANK2	Pank2	"behavior/neurological;endocrine/exocrine gland;growth/size;nervous system;reproductive system;vision/eye"
chr5	167975500	168006605	PANK3	Pank3	"no phenotypic analysis"
chr5	78907943	78982471	PAPD4	Papd4	"cellular"
chr7	4897364	4901625	PAPOLB	Papolb	"endocrine/exocrine gland;reproductive system"
chr9	118916083	119164601	PAPPA	Pappa	"growth/size;skeleton"
chr10	89419370	89507462	PAPSS2	Papss2	"craniofacial;digestive/alimentary;growth/size;homeostasis/metabolism;immune system;limbs/digits/tail;mortality/aging;skeleton"
chr4	79808281	79860592	PAQR3	Paqr3	"homeostasis/metabolism;integument;tumorigenesis"
chr10	34398488	35104253	PARD3	Pard3	"cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;limbs/digits/tail;mortality/aging;nervous system;no phenotypic analysis"
chr10	51026325	51130715	PARG	Parg	"cellular;embryogenesis;endocrine/exocrine gland;homeostasis/metabolism;immune system;mortality/aging"
chr6	161768452	163148803	PARK2	Park2	"behavior/neurological;cellular;growth/size;hearing/vestibular/ear;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;no phenotypic analysis;respiratory system;skeleton"
chr1	8014351	8045565	PARK7	Park7	"behavior/neurological;cellular;growth/size;homeostasis/metabolism;nervous system"
chr3	183547173	183602721	PARL	Parl	"cellular;endocrine/exocrine gland;growth/size;hematopoietic system;immune system;mortality/aging;muscle;nervous system;no phenotypic analysis;reproductive system;respiratory system;skeleton"
chr1	226548392	226595780	PARP1	Parp1	"cellular;embryogenesis;growth/size;hearing/vestibular/ear;homeostasis/metabolism;immune system;integument;mortality/aging;nervous system;no phenotypic analysis;reproductive system"
chr8	145051321	145086940	PARP10	Parp10	"behavior/neurological;nervous system"
chr14	20811741	20826064	PARP2	Parp2	"cellular;embryogenesis;homeostasis/metabolism;mortality/aging;reproductive system;tumorigenesis"
chr13	24995064	25086948	PARP4	Parp4	"normal"
chr11	12398732	12552348	PARVA	Parva	"cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;mortality/aging;muscle;renal/urinary system"
chr22	44395091	44568829	PARVB	Parvb	"normal"
chr22	44568836	44615413	PARVG	Parvg	"normal"
chr2	242045514	242089679	PASK	Pask	"behavior/neurological;endocrine/exocrine gland;growth/size;homeostasis/metabolism;liver/biliary system;muscle;nervous system;reproductive system;respiratory system"
chr22	31721790	31742218	PATZ1	Patz1	"endocrine/exocrine gland;growth/size;hematopoietic system;immune system;mortality/aging;reproductive system"
chr12	79968759	80084877	PAWR	Pawr	"behavior/neurological;cellular;hematopoietic system;immune system;normal"
chr20	21686297	21696620	PAX1	Pax1	"behavior/neurological;cardiovascular system;craniofacial;embryogenesis;growth/size;hematopoietic system;immune system;integument;limbs/digits/tail;mortality/aging;muscle;nervous system;normal;pigmentation;renal/urinary system;reproductive system;skeleton"
chr10	102495360	102589698	PAX2	Pax2	"cardiovascular system;cellular;embryogenesis;endocrine/exocrine gland;hearing/vestibular/ear;mortality/aging;nervous system;pigmentation;renal/urinary system;reproductive system;vision/eye"
chr2	223064607	223163715	PAX3	Pax3	"behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;pigmentation;reproductive system;respiratory system;skeleton;tumorigenesis;vision/eye"
chr7	127250346	127255982	PAX4	Pax4	"endocrine/exocrine gland;growth/size;mortality/aging"
chr9	36833272	37034103	PAX5	Pax5	"behavior/neurological;cellular;growth/size;hearing/vestibular/ear;hematopoietic system;immune system;mortality/aging;nervous system;no phenotypic analysis;normal"
chr11	31806340	31839509	PAX6	Pax6	"behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;nervous system;normal;pigmentation;renal/urinary system;reproductive system;respiratory system;skeleton;taste/olfaction;tumorigenesis;vision/eye"
chr1	18957500	19075360	PAX7	Pax7	"behavior/neurological;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;respiratory system;skeleton;tumorigenesis;vision/eye"
chr2	113973574	114036527	PAX8	Pax8	"cardiovascular system;craniofacial;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system;no phenotypic analysis;renal/urinary system;reproductive system;skeleton"
chr14	37126773	37148920	PAX9	Pax9	"behavior/neurological;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;immune system;limbs/digits/tail;mortality/aging;muscle;normal;respiratory system;skeleton"
chr7	154735397	154794794	PAXIP1	Paxip1	"cardiovascular system;cellular;embryogenesis;growth/size;homeostasis/metabolism;mortality/aging;normal"
chr3	52579368	52719933	PBRM1	Pbrm1	"cardiovascular system;embryogenesis;liver/biliary system;mortality/aging;respiratory system"
chr1	164524821	164868533	PBX1	Pbx1	"behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;liver/biliary system;mortality/aging;normal;other;renal/urinary system;reproductive system;respiratory system;skeleton"
chr6	32152512	32157963	PBX2	Pbx2	"hematopoietic system;immune system;normal;skeleton"
chr9	128509624	128729656	PBX3	Pbx3	"behavior/neurological;growth/size;hearing/vestibular/ear;homeostasis/metabolism;integument;mortality/aging;nervous system;respiratory system"
chr10	72642037	72648541	PCBD1	Pcbd1	"homeostasis/metabolism;integument;pigmentation;renal/urinary system;vision/eye"
chr13	100741269	101182686	PCCA	Pcca	"behavior/neurological;homeostasis/metabolism;liver/biliary system;mortality/aging;renal/urinary system"
chr4	134070470	134129356	PCDH10	Pcdh10	"growth/size;mortality/aging;nervous system"
chr5	141323150	141349304	PCDH12	Pcdh12	"normal"
chr10	55562531	57387702	PCDH15	Pcdh15	"behavior/neurological;growth/size;hearing/vestibular/ear;nervous system;vision/eye"
chr13	53418109	53422775	PCDH8	Pcdh8	"normal"
chr5	140165876	140391929	PCDHA1	Pcdha1	"normal"
chr5	140306302	140391929	PCDHAC1	Pcdhac1	"normal"
chr5	140345820	140391936	PCDHAC2	Pcdhac2	"normal"
chr17	36890150	36906070	PCGF2	Pcgf2	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;growth/size;hematopoietic system;immune system;limbs/digits/tail;mortality/aging;nervous system;skeleton"
chr13	113831891	113863029	PCID2	Pcid2	"digestive/alimentary;endocrine/exocrine gland;hematopoietic system;immune system;mortality/aging"
chr20	56136136	56141513	PCK1	Pck1	"adipose tissue;behavior/neurological;growth/size;homeostasis/metabolism;integument;liver/biliary system;mortality/aging;no phenotypic analysis;normal"
chr7	82383329	82792246	PCLO	Pclo	"growth/size;mortality/aging;nervous system;normal"
chr6	150070579	150132556	PCMT1	Pcmt1	"behavior/neurological;cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;muscle;nervous system;respiratory system;skeleton"
chr20	5095599	5107272	PCNA	Pcna	"endocrine/exocrine gland;hematopoietic system;immune system;mortality/aging;no phenotypic analysis;reproductive system"
chr21	47744036	47865682	PCNT	Pcnt	"behavior/neurological;cellular;embryogenesis;growth/size;limbs/digits/tail;mortality/aging;nervous system"
chr7	100199800	100205798	PCOLCE	Pcolce	"limbs/digits/tail;muscle;skeleton"
chr3	142534764	142608045	PCOLCE2	Pcolce2	"immune system;normal"
chr19	7696497	7698634	PCP2	Pcp2	"behavior/neurological;normal"
chr5	95726119	95769847	PCSK1	Pcsk1	"adipose tissue;behavior/neurological;digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;muscle;reproductive system"
chrX	48689504	48694035	PCSK1N	Pcsk1n	"behavior/neurological;growth/size"
chr20	17206752	17465223	PCSK2	Pcsk2	"behavior/neurological;cardiovascular system;endocrine/exocrine gland;homeostasis/metabolism;integument;reproductive system"
chr19	1481427	1490751	PCSK4	Pcsk4	"reproductive system"
chr9	78505560	78977255	PCSK5	Pcsk5	"cardiovascular system;craniofacial;digestive/alimentary;growth/size;hematopoietic system;immune system;limbs/digits/tail;mortality/aging;nervous system;no phenotypic analysis;renal/urinary system;respiratory system;skeleton"
chr15	101840818	102065405	PCSK6	Pcsk6	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;growth/size;mortality/aging;nervous system;respiratory system;skeleton;vision/eye"
chr1	55505221	55530525	PCSK9	Pcsk9	"homeostasis/metabolism"
chr17	53828340	53920191	PCTP	Pctp	"cellular;homeostasis/metabolism;immune system;liver/biliary system;normal"
chr2	70484518	70508323	PCYOX1	Pcyox1	"normal"
chr3	195941093	196014828	PCYT1A	Pcyt1a	"cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;immune system;mortality/aging;reproductive system;respiratory system"
chrX	24576204	24690794	PCYT1B	Pcyt1b	"endocrine/exocrine gland;homeostasis/metabolism;reproductive system;tumorigenesis"
chr17	79858841	79869340	PCYT2	Pcyt2	"homeostasis/metabolism;liver/biliary system;mortality/aging;reproductive system"
chr1	186412698	186430254	PDC	Pdc	"cardiovascular system;homeostasis/metabolism;muscle;nervous system;renal/urinary system;vision/eye"
chr2	242792033	242801060	PDCD1	Pdcd1	"cardiovascular system;endocrine/exocrine gland;hematopoietic system;immune system;liver/biliary system;mortality/aging;muscle;nervous system;renal/urinary system;skeleton;vision/eye"
chr9	5510545	5571282	PDCD1LG2	Pdcd1lg2	"endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;no phenotypic analysis;tumorigenesis"
chr6	170884383	170893780	PDCD2	Pdcd2	"embryogenesis;growth/size;mortality/aging"
chr10	112631565	112659764	PDCD4	Pdcd4	"endocrine/exocrine gland;immune system;mortality/aging;no phenotypic analysis;renal/urinary system;reproductive system;tumorigenesis"
chr5	271736	353971	PDCD6	Pdcd6	"normal"
chr6	165740776	166400091	PDE10A	Pde10a	"behavior/neurological;growth/size;homeostasis/metabolism"
chr2	178487980	178973066	PDE11A	Pde11a	"behavior/neurological;nervous system"
chr12	54943134	54973023	PDE1B	Pde1b	"behavior/neurological"
chr7	31790793	32338941	PDE1C	Pde1c	"taste/olfaction"
chr11	72287185	72385635	PDE2A	Pde2a	"mortality/aging"
chr12	20522179	20837315	PDE3A	Pde3a	"reproductive system"
chr11	14665269	14892350	PDE3B	Pde3b	"adipose tissue;endocrine/exocrine gland;growth/size;homeostasis/metabolism;integument;pigmentation"
chr19	10527449	10580305	PDE4A	Pde4a	"cardiovascular system;immune system;nervous system;taste/olfaction"
chr1	66258197	66840259	PDE4B	Pde4b	"cardiovascular system;immune system;mortality/aging"
chr5	58264865	59817947	PDE4D	Pde4d	"cardiovascular system;growth/size;homeostasis/metabolism;immune system;mortality/aging;muscle;reproductive system"
chr5	149237519	149324356	PDE6A	Pde6a	"nervous system;vision/eye"
chr4	619373	664571	PDE6B	Pde6b	"behavior/neurological;cardiovascular system;cellular;craniofacial;growth/size;hearing/vestibular/ear;integument;nervous system;normal;pigmentation;vision/eye"
chr10	95372345	95425767	PDE6C	Pde6c	"nervous system;vision/eye"
chr17	79617489	79630142	PDE6G	Pde6g	"nervous system;vision/eye"
chr8	66629745	66754557	PDE7A	Pde7a	"immune system"
chr15	85523671	85682376	PDE8A	Pde8a	"homeostasis/metabolism"
chr7	536895	559933	PDGFA	Pdgfa	"cardiovascular system;craniofacial;embryogenesis;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;renal/urinary system;reproductive system;respiratory system;skeleton"
chr22	39619364	39640756	PDGFB	Pdgfb	"cardiovascular system;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;pigmentation;renal/urinary system;reproductive system;respiratory system;vision/eye"
chr4	157681606	157892546	PDGFC	Pdgfc	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;normal;pigmentation;renal/urinary system;respiratory system;skeleton;vision/eye"
chr4	55095264	55164414	PDGFRA	Pdgfra	"behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;other;pigmentation;renal/urinary system;reproductive system;respiratory system;skeleton;tumorigenesis"
chr5	149493400	149535435	PDGFRB	Pdgfrb	"cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;nervous system;normal;renal/urinary system;reproductive system;skeleton;vision/eye"
chrX	19362011	19379823	PDHA1	Pdha1	"cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;mortality/aging;muscle;nervous system;reproductive system"
chr15	44038590	44065477	PDIA3	Pdia3	"cellular;embryogenesis;growth/size;immune system;mortality/aging;skeleton"
chr2	173420101	173489823	PDK1	Pdk1	"endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;nervous system;renal/urinary system;reproductive system"
chr7	95212811	95225803	PDK4	Pdk4	"homeostasis/metabolism"
chr8	22435792	22455538	PDLIM2	Pdlim2	"immune system"
chr4	186422851	186456766	PDLIM3	Pdlim3	"cardiovascular system;homeostasis/metabolism;mortality/aging;muscle;normal"
chr16	2587965	2653189	PDPK1	Pdpk1	"adipose tissue;behavior/neurological;cardiovascular system;craniofacial;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;limbs/digits/tail;mortality/aging;muscle;nervous system;normal;pigmentation;reproductive system;skeleton;vision/eye"
chr1	13909960	13944452	PDPN	Pdpn	"behavior/neurological;cardiovascular system;digestive/alimentary;growth/size;homeostasis/metabolism;immune system;integument;mortality/aging;muscle;respiratory system;skeleton"
chr4	39824483	39979576	PDS5A	Pds5a	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;growth/size;mortality/aging;nervous system;renal/urinary system;reproductive system;respiratory system;skeleton;vision/eye"
chr13	33160564	33352157	PDS5B	Pds5b	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;growth/size;homeostasis/metabolism;integument;limbs/digits/tail;mortality/aging;nervous system;reproductive system;respiratory system;skeleton;vision/eye"
